traditional,simplified,zhuyin,pinyin,translations,classifiers,class,level
能,能,ㄋㄥˊ,néng,can / to be able to / might possibly / ability / (physics) energy,,Aux,Novice 1
可以,可以,ㄎㄜˇ ㄧˇ,kě yǐ,can / may / possible / able to / not bad / pretty good,,Aux,Novice 1
上課,上课,ㄕㄤˋ ㄎㄜˋ,shàng kè,to go to class / to attend class / to go to teach a class,,V-sep,Novice 1
知道,知道,ㄓ ㄉㄠˋ,zhī dào,to know / to become aware of / also pr. [zhi1 dao5],,Vst,Novice 1
電視機,电视机,ㄉㄧㄢˋ ㄕˋ,diàn shì,television set,臺|台,N,Novice 1
電視機,电视机,ㄉㄧㄢˋ ㄕˋ ㄐㄧ,diàn shì jī,television set,臺|台,N,Novice 1
水,水,ㄕㄨㄟˇ,shuǐ,water / river / liquid / beverage / additional charges or income / (of clothes) classifier for number of washes,,N,Novice 1
再,再,ㄗㄞˋ,zài,"again / once more / re- / second / another / then (after sth, and not until then) / no matter how ... (followed by an adjective or verb, and then (usually) 也[ye3] or 都[dou1] for emphasis)",,Adv,Novice 1
書,书,ㄕㄨ,shū,book / letter / document / to write,本|本 / 冊|册 / 部|部,N,Novice 1
電影,电影,ㄉㄧㄢˋ ㄧㄥˇ,diàn yǐng,movie / film,部|部 / 片|片 / 幕|幕 / 場|场,N,Novice 1
以前,以前,ㄧˇ ㄑㄧㄢˊ,yǐ qián,before / formerly / previous / ago,,N,Novice 1
以後,以后,ㄧˇ ㄏㄡˋ,yǐ hòu,after / later / afterwards / following / later on / in the future,,N,Novice 1
走,走,ㄗㄡˇ,zǒu,"to walk / to go / to run / to move (of vehicle) / to visit / to leave / to go away / to die (euph.) / from / through / away (in compound verbs, such as 撤走[che4 zou3]) / to change (shape, form, meaning)",,V,Novice 1
等,等,ㄉㄥˇ,děng,class / rank / grade / equal to / same as / to wait for / to await / et cetera / and so on / et al. (and other authors) / after / as soon as / once,,V,Novice 1
看,看,ㄎㄢˋ,kàn,to see / to look at / to read / to watch / to visit / to call on / to consider / to regard as / to look after / to treat (an illness) / to depend on / to feel (that) / (after verb) to give it a try / Watch out! (for a danger),,V,Novice 1
什麼,什么,ㄕㄣˊ ㄇㄜ˙,shén me,what? / something / anything,,N,Novice 1
朋友,朋友,ㄆㄥˊ ㄧㄡˇ,péng yǒu,friend,個|个 / 位|位,N,Novice 1
東西,东西,ㄉㄨㄥ ㄒㄧ˙,dōng xi,thing / stuff / person,個|个 / 件|件,N,Novice 1
吧,吧,ㄅㄚ˙,ba,(onom.) smack!,,Ptc,Novice 1
呢,呢,ㄋㄜ˙,ne,woolen material,,Ptc,Novice 1
嗎,吗,ㄇㄚ˙,ma,"(question particle for ""yes-no"" questions)",,Ptc,Novice 1
找,找,ㄓㄠˇ,zhǎo,to try to find / to look for / to call on sb / to find / to seek / to return / to give change,,V,Novice 1
做,做,ㄗㄨㄛˋ,zuò,to do / to make / to produce / to write / to compose / to act as / to engage in / to hold (a party) / to be / to become / to function (in some capacity) / to serve as / to be used for / to form (a bond or relationship) / to pretend / to feign / to act a part / to put on appearance,,V,Novice 1
再見,再见,ㄗㄞˋ ㄐㄧㄢˋ,zài jiàn,goodbye / see you again later,,Vi,Novice 1
怎麼樣,怎么样,ㄗㄣˇ ㄇㄜ˙ ㄧㄤˋ,zěn me yàng,how? / how about? / how was it? / how are things?,,Vs,Novice 1
叫,叫,ㄐㄧㄠˋ,jiào,to shout / to call / to order / to ask / to be called / by (indicates agent in the passive mood),,Vst,Novice 1
謝謝,谢谢,ㄒㄧㄝˋ ㄒㄧㄝ˙,xiè xie,to thank / thanks / thank you,,Vst,Novice 1
對不起,对不起,ㄉㄨㄟˋ ㄅㄨˋ ㄑㄧˇ,duì bù qǐ,unworthy / to let down / I'm sorry / excuse me / pardon me / if you please / sorry? (please repeat),,Phrase,Novice 1
請問,请问,ㄑㄧㄥˇ ㄨㄣˋ,qǐng wèn,"Excuse me, may I ask...?",,Phrase,Novice 1
這,这,ㄓㄜˋ,zhè,"this / these / (commonly pr. [zhei4] before a classifier, esp. in Beijing)",,Det,Novice 1
那,那,ㄋㄚˋ,nà,(archaic) many / beautiful / how / old variant of 挪[nuo2],,Det,Novice 1
公共汽車,公共汽车,ㄍㄨㄥ ㄍㄨㄥˋ ㄑㄧˋ ㄔㄜ,gōng gòng qì chē,bus,輛|辆 / 班|班,N,Novice 1
公車,公车,ㄍㄨㄥ ㄔㄜ,gōng chē,"bus / abbr. for 公共汽車|公共汽车[gong1 gong4 qi4 che1] / car belonging to an organization and used by its members (government car, police car, company car etc) / abbr. for 公務用車|公务用车[gong1 wu4 yong4 che1]",,N,Novice 1
車,车,ㄔㄜ,chē,war chariot (archaic) / rook (in Chinese chess) / rook (in chess),,N,Novice 1
車子,车子,ㄔㄜ ㄗ˙,chē zi,"car or other vehicle (bicycle, truck etc)",,N,Novice 1
到,到,ㄉㄠˋ,dào,to (a place) / until (a time) / up to / to go / to arrive / (verb complement denoting completion or result of an action),,V,Novice 1
去,去,ㄑㄩˋ,qù,to go / to go to (a place) / (of a time etc) last / just passed / to send / to remove / to get rid of / to reduce / to be apart from in space or time / to die (euphemism) / to play (a part) / (when used either before or after a verb) to go in order to do sth / (after a verb of motion indicates movement away from the speaker) / (used after certain verbs to indicate detachment or separation),,V,Novice 1
回,回,ㄏㄨㄟˊ,huí,to circle / to go back / to turn around / to answer / to return / to revolve / Hui ethnic group (Chinese Muslims) / time / classifier for acts of a play / section or chapter (of a classic book),,V,Novice 1
坐,坐,ㄗㄨㄛˋ,zuò,"to sit / to take a seat / to take (a bus, airplane etc) / to bear fruit / variant of 座[zuo4]",,Vi,Novice 1
開車,开车,ㄎㄞ ㄔㄜ,kāi chē,to drive a car,,V-sep,Novice 1
錢,钱,ㄑㄧㄢˊ,qián,"coin / money / unit of weight, one tenth of a tael 兩|两[liang3]",筆|笔,N,Novice 1
多少,多少,ㄉㄨㄛ ㄕㄠˇ,duō shǎo,"how much? / how many? / (phone number, student ID etc) what number?",,N,Novice 1
給,给,ㄍㄟˇ,gěi,to supply / to provide,,V,Novice 1
給,给,ㄍㄟˇ,gěi,to supply / to provide,,Prep,Novice 1
貴,贵,ㄍㄨㄟˋ,guì,expensive / noble / precious / (honorific) your,,Vs,Novice 1
便宜,便宜,ㄆㄧㄢˊ ㄧˊ,pián yí,cheap / inexpensive / small advantages / to let sb off lightly,,Vs,Novice 1
大,大,ㄉㄚˋ,dà,see 大夫[dai4 fu5],,Vs,Novice 1
小,小,ㄒㄧㄠˇ,xiǎo,small / tiny / few / young,,Vs,Novice 1
難,难,ㄋㄢˊ,nán,disaster / distress / to scold,,Vs,Novice 1
容易,容易,ㄖㄨㄥˊ ㄧˋ,róng yì,easy / likely / liable (to),,Vs,Novice 1
有,有,ㄧㄡˇ,yǒu,to have / there is / there are / to exist / to be,,Vst,Novice 1
想,想,ㄒㄧㄤˇ,xiǎng,to think / to believe / to suppose / to wish / to want / to miss (feel wistful about the absence of sb or sth),,Vst,Novice 1
幾,几,ㄐㄧˇ,jǐ,how much / how many / several / a few,,Det,Novice 1
塊,块,ㄎㄨㄞˋ,kuài,"lump (of earth) / chunk / piece / classifier for pieces of cloth, cake, soap etc / (coll.) classifier for money and currency units",,M,Novice 1
飯,饭,ㄈㄢˋ,fàn,cooked rice / meal / (loanword) fan / devotee,碗|碗 / 頓|顿,N,Novice 1
吃,吃,ㄔ,chī,to eat / to consume / to eat at (a cafeteria etc) / to eradicate / to destroy / to absorb / to suffer / to stammer (Taiwan pr. for this sense is [ji2]),,V,Novice 1
請,请,ㄑㄧㄥˇ,qǐng,to ask / to invite / please (do sth) / to treat (to a meal etc) / to request,,V,Novice 1
也,也,ㄧㄝˇ,yě,also / too / (in Classical Chinese) final particle implying affirmation,,Adv,Novice 1
不,不,ㄅㄨˋ,bù,(negative prefix) / not / no,,Adv,Novice 1
沒,没,ㄇㄟˊ,méi,drowned / to end / to die / to inundate,,Adv,Novice 1
都,都,ㄉㄡ,dōu,capital city / metropolis,,Adv,Novice 1
只,只,ㄓˇ,zhǐ,only / merely / just / but,,Adv,Novice 1
可是,可是,ㄎㄜˇ ㄕˋ,kě shì,but / however / (used for emphasis) indeed,,Conj,Novice 1
還是,还是,ㄏㄞˊ ㄕˋ,hái shì,or / still / nevertheless / had better,,Conj,Novice 1
了,了,ㄌㄜ˙,le,to finish / to achieve / variant of 瞭|了[liao3] / to understand clearly,,Ptc,Novice 1
得,得,ㄉㄜ˙,de,to have to / must / ought to / to need to,,Ptc,Novice 1
過,过,ㄍㄨㄛˋ,guò,(experienced action marker),,Ptc,Novice 1
男,男,ㄋㄢˊ,nán,"male / Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]",個|个,N,Novice 2
女,女,ㄋㄩˇ,nǚ,archaic variant of 汝[ru3],,N,Novice 2
孩子,孩子,ㄏㄞˊ ㄗ˙,hái zi,child,,N,Novice 2
小姐,小姐,ㄒㄧㄠˇ ㄐㄧㄝˇ,xiǎo jiě,young lady / miss / (slang) prostitute,個|个 / 位|位,N,Novice 2
先生,先生,ㄒㄧㄢ ㄕㄥ,xiān shēng,teacher / husband / doctor (dialect),位|位,N,Novice 2
太太,太太,ㄊㄞˋ ㄊㄞ˙,tài tai,married woman / Mrs. / Madam / wife,個|个 / 位|位,N,Novice 2
女兒,女儿,ㄋㄩˇ ㄦˊ,nǚ r2,daughter,,N,Novice 2
兒子,儿子,ㄦˊ ㄗ˙,r2 zi,son,,N,Novice 2
大家,大家,ㄉㄚˋ ㄐㄧㄚ,dà jiā,everyone / influential family / great expert,,N,Novice 2
路,路,ㄌㄨˋ,lù,road / journey / route / line (bus etc) / sort / kind,條|条,N,Novice 2
手機,手机,ㄕㄡˇ ㄐㄧ,shǒu jī,cell phone / mobile phone,部|部 / 支|支,N,Novice 2
號碼,号码,ㄏㄠˋ ㄇㄚˇ,hào mǎ,number,堆|堆 / 個|个,N,Novice 2
明年,明年,ㄇㄧㄥˊ ㄋㄧㄢˊ,míng nián,next year,,N,Novice 2
去年,去年,ㄑㄩˋ ㄋㄧㄢˊ,qù nián,last year,,N,Novice 2
生日,生日,ㄕㄥ ㄖˋ,shēng rì,birthday,個|个,N,Novice 2
月,月,ㄩㄝˋ,yuè,moon / month / monthly,個|个 / 輪|轮,N,Novice 2
日,日,ㄖˋ,rì,"sun / day / date, day of the month",,N,Novice 2
星期,星期,ㄒㄧㄥ ㄑㄧˊ,xīng qí,week / day of the week / Sunday,個|个,N,Novice 2
星期天,星期天,ㄒㄧㄥ ㄑㄧˊ ㄊㄧㄢ,xīng qí tiān,Sunday,個|个,N,Novice 2
星期日,星期日,ㄒㄧㄥ ㄑㄧˊ ㄖˋ,xīng qí rì,Sunday,個|个,N,Novice 2
週末,週末,ㄓㄡ ㄇㄛˋ,zhōu mò,weekend,,N,Novice 2
號,号,ㄏㄠˋ,hào,ordinal number / day of a month / mark / sign / business establishment / size / ship suffix / horn (wind instrument) / bugle call / assumed name / to take a pulse / classifier used to indicate number of people,,M,Novice 2
天,天,ㄊㄧㄢ,tiān,day / sky / heaven,,N,Novice 2
天,天,ㄊㄧㄢ,tiān,day / sky / heaven,,M,Novice 2
從,从,ㄘㄨㄥˊ,cóng,from / through / via / to follow / to obey / to engage in (an activity) / never (in negative sentence) / (Taiwan pr. [zong4]) retainer / assistant / auxiliary / subordinate / related by common paternal grandfather or earlier ancestor,,Prep,Novice 2
在,在,ㄗㄞˋ,zài,(located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress),,Prep,Novice 2
在,在,ㄗㄞˋ,zài,(located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress),,Vst,Novice 2
笑,笑,ㄒㄧㄠˋ,xiào,laugh / smile,個|个,Vi,Novice 2
愛,爱,ㄞˋ,ài,to love / to be fond of / to like / affection / to be inclined (to do sth) / to tend to (happen),,Vst,Novice 2
好看,好看,ㄏㄠˇ ㄎㄢˋ,hǎo kàn,"good-looking / nice-looking / good (of a movie, book, TV show etc) / embarrassed / humiliated",,Vs,Novice 2
快樂,快乐,ㄎㄨㄞˋ ㄌㄜˋ,kuài lè,happy / merry,,Vs,Novice 2
太,太,ㄊㄞˋ,tài,highest / greatest / too (much) / very / extremely,,Adv,Novice 2
非常,非常,ㄈㄟ ㄔㄤˊ,fēi cháng,very / very much / unusual / extraordinary,,Adv,Novice 2
工作,工作,ㄍㄨㄥ ㄗㄨㄛˋ,gōng zuò,to work / (of a machine) to operate / job / work / task,個|个 / 份|份 / 項|项,N,Novice 2
醫生,医生,ㄧ ㄕㄥ,yī shēng,doctor,個|个 / 位|位 / 名|名,N,Novice 2
醫院,医院,ㄧ ㄩㄢˋ,yī yuàn,hospital,所|所 / 家|家 / 座|座,N,Novice 2
公司,公司,ㄍㄨㄥ ㄙ,gōng sī,(business) company / company / firm / corporation / incorporated,家|家,N,Novice 2
賣,卖,ㄇㄞˋ,mài,to sell / to betray / to spare no effort / to show off or flaunt,,V,Novice 2
準備,准备,ㄓㄨㄣˇ ㄅㄟˋ,zhǔn bèi,preparation / to prepare / to intend / to be about to / reserve (fund),,V,Novice 2
一點,一点,ㄧ ㄉㄧㄢˇ,yī diǎn,a bit / a little / one dot / one point,,Det,Novice 2
一點兒,一点儿,ㄧ ㄉㄧㄢˇ ㄦ,yī diǎn r1,erhua variant of 一點|一点[yi1 dian3],,Det,Novice 2
一些,一些,ㄧ ㄒㄧㄝ,yī xiē,some / a few / a little / (following an adjective) slightly ...er,,Det,Novice 2
本,本,ㄅㄣˇ,běn,"root / stem / origin / source / this / the current / original / inherent / originally / classifier for books, periodicals, files etc",,M,Novice 2
張,张,ㄓㄤ,zhāng,"to open up / to spread / sheet of paper / classifier for flat objects, sheet / classifier for votes",,M,Novice 2
中學,中学,ㄓㄨㄥ ㄒㄩㄝˊ,zhōng xué,middle school,個|个,N,Novice 2
年級,年级,ㄋㄧㄢˊ ㄐㄧˊ,nián jí,"grade / year (in school, college etc)",個|个,N,Novice 2
英文,英文,ㄧㄥ ㄨㄣˊ,yīng wén,English (language),,N,Novice 2
紙,纸,ㄓˇ,zhǐ,"paper / classifier for documents, letter etc",張|张 / 沓|沓,N,Novice 2
問題,问题,ㄨㄣˋ ㄊㄧˊ,wèn tí,question / problem / issue / topic,個|个,N,Novice 2
意思,意思,ㄧˋ ㄙ˙,yì si,"idea / opinion / meaning / wish / desire / interest / fun / token of appreciation, affection etc / to give as a small token / to do sth as a gesture of goodwill etc",個|个,N,Novice 2
圖書館,图书馆,ㄊㄨˊ ㄕㄨ ㄍㄨㄢˇ,tú shū guǎn,library,家|家 / 個|个,N,Novice 2
數學,数学,ㄕㄨˋ ㄒㄩㄝˊ,shù xué,mathematics / mathematical,,N,Novice 2
歷史,历史,ㄌㄧˋ ㄕˇ,lì shǐ,history,門|门 / 段|段,N,Novice 2
餐廳,餐厅,ㄘㄢ ㄊㄧㄥ,cān tīng,dining hall / dining room / restaurant,間|间 / 家|家,N,Novice 2
飯館,饭馆,ㄈㄢˋ ㄍㄨㄢˇ,fàn guǎn,restaurant,家|家,N,Novice 2
學習,学习,ㄒㄩㄝˊ ㄒㄧˊ,xué xí,to learn / to study,,V,Novice 2
參加,参加,ㄘㄢ ㄐㄧㄚ,cān jiā,to participate / to take part / to join,,V,Novice 2
畫,画,ㄏㄨㄚˋ,huà,to draw / picture / painting / classifier for paintings etc / variant of 劃|划[hua4],幅|幅 / 張|张,V,Novice 2
讀,读,ㄉㄨˊ,dú,"to read / to study / reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]",,V,Novice 2
會,会,ㄏㄨㄟˋ,huì,to balance an account / accountancy / accounting,,Aux,Novice 2
有趣,有趣,ㄧㄡˇ ㄑㄩˋ,yǒu qù,interesting / fascinating / amusing,,Vs,Novice 2
為什麼,为什么,ㄨㄟˋ ㄕㄣˊ ㄇㄜ˙,wèi shén me,why? / for what reason?,,Vs,Novice 2
下課,下课,ㄒㄧㄚˋ ㄎㄜˋ,xià kè,to finish class / to get out of class,,V-sep,Novice 2
說話,说话,ㄕㄨㄛ ㄏㄨㄚˋ,shuō huà,to speak / to say / to talk / to gossip / to tell stories / talk / word,,V-sep,Novice 2
考試,考试,ㄎㄠˇ ㄕˋ,kǎo shì,to take an exam / exam,次|次,V-sep,Novice 2
考試,考试,ㄎㄠˇ ㄕˋ,kǎo shì,to take an exam / exam,次|次,N,Novice 2
懂,懂,ㄉㄨㄥˇ,dǒng,to understand / to comprehend,,Vst,Novice 2
天氣,天气,ㄊㄧㄢ ㄑㄧˋ,tiān qì,weather,,N,Novice 2
房子,房子,ㄈㄤˊ ㄗ˙,fáng zi,house / building (single- or two-story) / apartment / room,棟|栋 / 幢|幢 / 座|座 / 套|套 / 間|间,N,Novice 2
門,门,ㄇㄣˊ,mén,"gate / door / gateway / doorway / opening / valve / switch / way to do something / knack / family / house / (religious) sect / school (of thought) / class / category / phylum or division (taxonomy) / classifier for large guns / classifier for lessons, subjects, branches of technology / (suffix) -gate (i.e. scandal; derived from Watergate)",扇|扇 / 個|个,N,Novice 2
山,山,ㄕㄢ,shān,mountain / hill / anything that resembles a mountain / bundled straw in which silkworms spin cocoons / gable,座|座,N,Novice 2
客廳,客厅,ㄎㄜˋ ㄊㄧㄥ,kè tīng,drawing room (room for arriving guests) / living room,間|间,N,Novice 2
河,河,ㄏㄜˊ,hé,river,條|条 / 道|道,N,Novice 2
狗,狗,ㄍㄡˇ,gǒu,dog,隻|只 / 條|条,N,Novice 2
花,花,ㄏㄨㄚ,huā,"flower / blossom / fancy pattern / florid / to spend (money, time) / (coll.) lecherous / lustful",朵|朵 / 支|支 / 束|束 / 把|把 / 盆|盆 / 簇|簇,N,Novice 2
風,风,ㄈㄥ,fēng,wind / news / style / custom / manner,陣|阵 / 絲|丝,N,Novice 2
海,海,ㄏㄞˇ,hǎi,ocean / sea / great number of people or things / (dialect) numerous,個|个 / 片|片,N,Novice 2
魚,鱼,ㄩˊ,yú,fish,條|条 / 尾|尾,N,Novice 2
樹,树,ㄕㄨˋ,shù,tree / to cultivate / to set up,棵|棵,N,Novice 2
